id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01KFEVPNJV8Y998VRKJQSK3F27,01KFEVMN9Q125N5N16W4WNYJXF,2026-01-20T23:26:40.731653118Z,90,2026-01-20T23:26:40.731653118Z,true,2026-01-20T23:27:03.055325526Z,01KFEVMNB841AFDZFM4WSW4FTD,2026-01-20T23:26:40.731653118Z,0,2026-01-20T23:26:40.731653118Z,true,2026-01-20T23:26:42.880634564Z,choice,2026-01-20T23:26:40.731653118Z,01KFEVPNF9X8183T19PW5K9TEJ,2026-01-20T23:26:40.731653118Z,true,2026-01-20T23:26:42.836048874Z,true,2026-01-20T23:26:42.901273324Z,01KFEVPNJPSGCYENBPYB2YF60S,2026-01-20T23:26:40.731653118Z
01KFEWB9EFX04N8VV9TBA9MAMH,01KFEV38GJVYY8P8B7QXSW6BTE,2026-01-20T23:37:56.431359471Z,30,2026-01-20T23:37:56.431359471Z,true,2026-01-20T23:39:31.751144931Z,01KFEV38H8T2V9428VC9T7MEBA,2026-01-20T23:37:56.431359471Z,1,2026-01-20T23:37:56.431359471Z,true,2026-01-20T23:39:14.192581437Z,result,2026-01-20T23:37:56.431359471Z,01KFEWB94VS3H1WGEG6MHSEQZ4,2026-01-20T23:37:56.431359471Z,true,2026-01-20T23:39:14.145885803Z,true,2026-01-20T23:39:14.225318174Z,01KFEWB9E0ANA2W2J8WRC9XC25,2026-01-20T23:37:56.431359471Z
01KFEV993QHWEYQB55RKP924HG,01KFEV2BZFDRZBG3Y0249RG1TW,2026-01-20T23:19:21.97554886Z,30,2026-01-20T23:19:21.97554886Z,true,2026-01-20T23:19:42.001294815Z,01KFEV2C08ND9C9BYW8N2T146P,2026-01-20T23:19:21.97554886Z,1,2026-01-20T23:19:21.97554886Z,true,2026-01-20T23:19:27.27725483Z,result,2026-01-20T23:19:21.97554886Z,01KFEV9921HAKCJZWRN603XZDD,2026-01-20T23:19:21.97554886Z,true,2026-01-20T23:19:27.239931996Z,true,2026-01-20T23:19:27.28931481Z,01KFEV993M46TB0QT8MM6CMWZY,2026-01-20T23:19:21.97554886Z
01KFEVB8HQ343GXPGBQFAMG2VR,01KFEV2BZFDRZBG3Y0249RG1TW,2026-01-20T23:20:26.935372457Z,90,2026-01-20T23:20:26.935372457Z,true,2026-01-20T23:21:53.899131831Z,01KFEV2C0CP35QE41ZMH45J8TZ,2026-01-20T23:20:26.935372457Z,0,2026-01-20T23:20:26.935372457Z,true,2026-01-20T23:21:43.330670116Z,choice,2026-01-20T23:20:26.935372457Z,01KFEVB8FWDNBSEK2Q7T0WF7KM,2026-01-20T23:20:26.935372457Z,true,2026-01-20T23:21:43.311036487Z,true,2026-01-20T23:21:43.34311552Z,01KFEVB8HGHCRMY2QSKA1HJ6TN,2026-01-20T23:20:26.935372457Z
01KFEVGBJ96NKB51ZV2HGV6QVJ,01KFEV37CWX6SQYA0RPR0C01MW,2026-01-20T23:23:13.865035164Z,30,2026-01-20T23:23:13.865035164Z,true,2026-01-20T23:25:32.753009748Z,01KFEV37DE991T271V0BRDHRJW,2026-01-20T23:23:13.865035164Z,1,2026-01-20T23:23:13.865035164Z,true,2026-01-20T23:25:30.016627566Z,result,2026-01-20T23:23:13.865035164Z,01KFEVGBCW7TNTPNJ175RV28X4,2026-01-20T23:23:13.865035164Z,true,2026-01-20T23:25:29.992769719Z,true,2026-01-20T23:25:30.035033885Z,01KFEVGBJ0N4WT8Y933KQFHTCP,2026-01-20T23:23:13.865035164Z
01KFEW7Q0FSARMW9XERAF08EQZ,01KFEVMNF44NEM58ETFST7KTWM,2026-01-20T23:35:59.247716592Z,90,2026-01-20T23:35:59.247716592Z,false,2026-01-20T23:35:59.247716592Z,01KFEVMNH60E845G0BNN18WWCX,2026-01-20T23:35:59.247716592Z,0,2026-01-20T23:35:59.247716592Z,,,choice,2026-01-20T23:35:59.247716592Z,01KFEW7PQMVA8DCPJF8F4YD1WC,2026-01-20T23:35:59.247716592Z,false,2026-01-20T23:35:59.247716592Z,,,01KFEW7Q087TCASTD4F644JQ33,2026-01-20T23:35:59.247716592Z
01KFEVCJNXE6VHT1BQAFB59G64,01KFEV2BZFDRZBG3Y0249RG1TW,2026-01-20T23:21:10.077202857Z,90,2026-01-20T23:21:10.077202857Z,false,2026-01-20T23:21:10.077202857Z,01KFEV2C0EQZAQP8AFWFARX9S3,2026-01-20T23:21:10.077202857Z,0,2026-01-20T23:21:10.077202857Z,,,choice,2026-01-20T23:21:10.077202857Z,01KFEVCJK3YKQXD5ZJWKCD87VG,2026-01-20T23:21:10.077202857Z,false,2026-01-20T23:21:10.077202857Z,,,01KFEVCJNQ515Q76KNDBPTHRHJ,2026-01-20T23:21:10.077202857Z
01KFEVJWYGG5MFCTZ9CY6814HB,01KFEV38A01XZ4DPRPFKRE96P8,2026-01-20T23:24:37.200537945Z,90,2026-01-20T23:24:37.200537945Z,true,2026-01-20T23:28:52.897292532Z,01KFEV38AJ2CFPYBQZ58NH0V5J,2026-01-20T23:24:37.200537945Z,0,2026-01-20T23:24:37.200537945Z,true,2026-01-20T23:28:48.96406855Z,choice,2026-01-20T23:24:37.200537945Z,01KFEVJWRF48QGEMN6CSTN82AW,2026-01-20T23:24:37.200537945Z,true,2026-01-20T23:28:48.929536834Z,true,2026-01-20T23:28:48.988695166Z,01KFEVJWYCJPB0C6EEPGWNG1B2,2026-01-20T23:24:37.200537945Z
01KFEW0GMEJP63FQ1SYG9CT4HE,01KFEV37PBC6DGWCX0HT0QWYJR,2026-01-20T23:32:03.342265611Z,90,2026-01-20T23:32:03.342265611Z,true,2026-01-20T23:33:55.930008459Z,01KFEV37Q0WSYAYKWHM2EXN0DN,2026-01-20T23:32:03.342265611Z,0,2026-01-20T23:32:03.342265611Z,true,2026-01-20T23:33:52.328043028Z,choice,2026-01-20T23:32:03.342265611Z,01KFEW0G8PBE5EFQ6P72KS21WH,2026-01-20T23:32:03.342265611Z,true,2026-01-20T23:33:52.277775365Z,true,2026-01-20T23:33:52.35333686Z,01KFEW0GM62X87MNSGAXSQ34NW,2026-01-20T23:32:03.342265611Z
01KFEVKCQWKZG726P55K4SV233,01KFEV37PBC6DGWCX0HT0QWYJR,2026-01-20T23:24:53.372144338Z,30,2026-01-20T23:24:53.372144338Z,true,2026-01-20T23:26:07.881492545Z,01KFEV37PYV9HETXX2PSGE1RKD,2026-01-20T23:24:53.372144338Z,1,2026-01-20T23:24:53.372144338Z,true,2026-01-20T23:26:03.002585464Z,result,2026-01-20T23:24:53.372144338Z,01KFEVKCMMB045AMAJBPJ2G93R,2026-01-20T23:24:53.372144338Z,true,2026-01-20T23:26:02.979670593Z,true,2026-01-20T23:26:03.025310764Z,01KFEVKCQKPAKQ1C1BZ4172RC2,2026-01-20T23:24:53.372144338Z
