id,batchID,batchIDLastChangedAt,bonus,bonusLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01KFEJE9YNSBGX7H5KZRDKZJBF,01KFEHAM0SBSN9QYCK4NGJTWCC,2026-01-20T20:44:49.493460377Z,0,2026-01-20T20:44:57.54923646Z,B,2026-01-20T20:44:54.861291746Z,01KFEHAM3ZX2QFEZ4F28QFW79D,2026-01-20T20:44:49.493460377Z,01KFEJ9883X77HA7T3SDA1VF8F,2026-01-20T20:44:49.493460377Z,01KFEJDCPEHAMFN7YYTJ618NS2,2026-01-20T20:44:49.493460377Z
01KFEE0NVZJ70M9V0NFKG47SNM,01KFEDCC1ZHDDN3CP9JWF4PGTF,2026-01-20T19:27:28.63974373Z,0,2026-01-20T19:27:32.942842131Z,B,2026-01-20T19:27:31.000176047Z,01KFEDCC2JDADMPT5RVP2N7S0X,2026-01-20T19:27:28.63974373Z,01KFEDNQAB8C2AFG7D4ZXA4K64,2026-01-20T19:27:28.63974373Z,01KFEDZ32HPS4WKB1C8GMCNP59,2026-01-20T19:27:28.63974373Z
01KFEEX0PKPHH5H0PGD9N96F12,01KFEDCCAW3ZY6KSKNHTKZ971F,2026-01-20T19:42:57.235649376Z,0,2026-01-20T19:43:04.371474234Z,C,2026-01-20T19:43:03.086711362Z,01KFEDCCBE716PRHN8Q6NQV6ZT,2026-01-20T19:42:57.235649376Z,01KFEEMXPGKZB6AS6D6H40GZ8R,2026-01-20T19:42:57.235649376Z,01KFEEV7VX3GR1E3DZCJGDMB43,2026-01-20T19:42:57.235649376Z
01KFEJVJFS00TV1KGTPVBVX3YN,01KFEJ5DKDD8ED3R70AXWWV7TA,2026-01-20T20:52:04.217642816Z,29,2026-01-20T20:52:21.374133908Z,C,2026-01-20T20:52:13.581462254Z,01KFEJ5DPFFD934S0E2GQ1B9RR,2026-01-20T20:52:04.217642816Z,01KFEJPRKV9117XEB7P0YJ5NT5,2026-01-20T20:52:04.217642816Z,01KFEJVD1BVNTKRYDRCVQW2TFS,2026-01-20T20:52:04.217642816Z
01KFEFJ6T8FECWSG6ARYTC5VJF,01KFEDCCH0VMFH7P25F40PD43N,2026-01-20T19:54:31.624608704Z,0,2026-01-20T19:54:39.116755031Z,C,2026-01-20T19:54:35.873853745Z,01KFEDCCHGZS8158VZSSNCZZHP,2026-01-20T19:54:31.624608704Z,01KFEEV98ZBZT7VKKTGE1Q7XAV,2026-01-20T19:54:31.624608704Z,01KFEFDRSM08QE71XQ680125TF,2026-01-20T19:54:31.624608704Z
01KFEJTBNC9XRTG185N39CRFM4,01KFEHAKWNS08RQENHQ36ND5GA,2026-01-20T20:51:24.460323975Z,,,C,2026-01-20T20:51:29.972777009Z,01KFEHAKXJ10EJRCGF487MPEAV,2026-01-20T20:51:24.460323975Z,01KFEJABGC6P623T7A5G0Q33VP,2026-01-20T20:51:24.460323975Z,01KFEJJPRM7GB0A2TBPVQEQMQP,2026-01-20T20:51:24.460323975Z
01KFEE64G1J7Y5063F54RN6TA1,01KFEDCB0G5KS91T4MD9JTDSA4,2026-01-20T19:30:27.45780796Z,10,2026-01-20T19:30:31.828090239Z,B,2026-01-20T19:30:31.815160506Z,01KFEDCB197E7YMN5STVXKHS22,2026-01-20T19:30:27.45780796Z,01KFEDRBWHPV4A332ZXM2PZSR4,2026-01-20T19:30:27.45780796Z,01KFEE2FBXEWV16GWAXSET8CNM,2026-01-20T19:30:27.45780796Z
01KFEHYSWECYY4PPQ3GG0TSVVB,01KFEHA1EJWPRPNCXBTHCF12K2,2026-01-20T20:36:21.518673757Z,17,2026-01-20T20:36:25.362053104Z,D,2026-01-20T20:36:25.325736364Z,01KFEHA1GPSKM8FTTA039GX2FE,2026-01-20T20:36:21.518673757Z,01KFEHHKNYNVTAQQFNDQ02SYYK,2026-01-20T20:36:21.518673757Z,01KFEHRJYV21B205R6XWZR6S31,2026-01-20T20:36:21.518673757Z
01KFEJR0ZW0SNAAY03X9F8EXAN,01KFEHAM72H3ZNN8G0T2BCT79K,2026-01-20T20:50:07.996321042Z,19,2026-01-20T20:50:25.656314925Z,C,2026-01-20T20:50:22.942186433Z,01KFEHAMB21FYRXZN71VHCADQA,2026-01-20T20:50:07.996321042Z,01KFEJA6ZV4RH275A9Q04XR97K,2026-01-20T20:50:07.996321042Z,01KFEJQTD9PESGMM4N7JNK4H7B,2026-01-20T20:50:07.996321042Z
01KFEJYKY4C9AQE6D7X9WXDVF0,01KFEJ5E832Q64ZNG3ZKPXGHJ5,2026-01-20T20:53:44.004323027Z,29,2026-01-20T20:53:49.9372481Z,C,2026-01-20T20:53:46.138839211Z,01KFEJ5EA7VXFPKNKHCS7D0Y4Z,2026-01-20T20:53:44.004323027Z,01KFEJNVB651FPQEK7J4Z5SF1P,2026-01-20T20:53:44.004323027Z,01KFEJW1XPFZWCPZCC35MX21GZ,2026-01-20T20:53:44.004323027Z
01KFEJYWN64MR1DEAAKRNP9S3N,01KFEJ5DKDD8ED3R70AXWWV7TA,2026-01-20T20:53:52.93433953Z,17,2026-01-20T20:53:54.852282191Z,D,2026-01-20T20:53:53.972959457Z,01KFEJ5DPFFD934S0E2GQ1B9RR,2026-01-20T20:53:52.93433953Z,01KFEJPRKV9117XEB7P0YJ5NT5,2026-01-20T20:53:52.93433953Z,01KFEJVCY5E3NBVHMJHBJC0CX9,2026-01-20T20:53:52.93433953Z
01KFEDXYDJEP3B0HS02FDGKY6N,01KFEDCC1ZHDDN3CP9JWF4PGTF,2026-01-20T19:25:59.090298094Z,29,2026-01-20T19:26:01.932181527Z,C,2026-01-20T19:26:01.916502456Z,01KFEDCC2JDADMPT5RVZQ93BA8,2026-01-20T19:25:59.090298094Z,01KFEDNRR64JDCJYA79FBRE8X8,2026-01-20T19:25:59.090298094Z,01KFEDVKB5NFPV0X6HD7GJNNBC,2026-01-20T19:25:59.090298094Z
