id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,myCost,myCostLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01KBT8RF6BBVWGJX1KEM54FXSE,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:42.667606753Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:42.667606753Z,1,2025-12-06T16:43:45.597807474Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:43:42.667606753Z,01KBT8JC57QP16MSB0DDP76DTA,2025-12-06T16:43:42.667606753Z,01KBT8JCB4A7DBW60DXT0RD6C4,2025-12-06T16:43:42.667606753Z,true,2025-12-06T16:43:47.501493523Z
01KBT8S6773KF3BNTJJPC738F9,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:06.247474305Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:06.247474305Z,8,2025-12-06T16:44:11.094564539Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:44:06.247474305Z,01KBT8JC59WR4B2QH45SGD8YXW,2025-12-06T16:44:06.247474305Z,01KBT8JCC4MXDVK9SMW57CXX0T,2025-12-06T16:44:06.247474305Z,true,2025-12-06T16:44:12.557113923Z
01KBT8S6790ZKKDFMTXD7JTD5X,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:06.249875715Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:06.249875715Z,1,2025-12-06T16:44:07.293839174Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:44:06.249875715Z,01KBT8JC59WR4B2QH45SGD8YXW,2025-12-06T16:44:06.249875715Z,01KBT8JCC4MXDVK9SMW57CXX0T,2025-12-06T16:44:06.249875715Z,true,2025-12-06T16:44:09.203125983Z
01KBT8S3X30RASD6NMWCPVD6GK,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:03.875922149Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:03.875922149Z,,,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:44:03.875922149Z,01KBT8JC59WR4B2QH45SGD8YXW,2025-12-06T16:44:03.875922149Z,01KBT8JCC3N8TVEKNARVWB3799,2025-12-06T16:44:03.875922149Z,true,2025-12-06T16:44:06.217699673Z
01KBT8T4526FQ9VBP9XZGGVD41,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:36.898123642Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:36.898123642Z,1,2025-12-06T16:44:37.994489284Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:44:36.898123642Z,01KBT8JC5D3RTVXQJX8RH8JFKQ,2025-12-06T16:44:36.898123642Z,01KBT8JCDBQCBG1S1BZAQNB4TA,2025-12-06T16:44:36.898123642Z,true,2025-12-06T16:44:39.314959051Z
01KBT77S3JSH3BGCCW7KAMQ35M,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:17:07.186459147Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:17:07.186459147Z,,,01KBT6PMKC0S215V56B18R79KJ,2025-12-06T16:17:07.186459147Z,01KBT760Y3XKT1HN7YNBM7EW58,2025-12-06T16:17:07.186459147Z,01KBT76106RNFWA3779ZB2XQA3,2025-12-06T16:17:07.186459147Z,true,2025-12-06T16:18:34.113469095Z
01KBT7ATGPPGYFDC3BJ1VSNAT5,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:18:46.934367218Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:18:46.934367218Z,,,01KBT734QBSSKVCT6FY8H827M7,2025-12-06T16:18:46.934367218Z,01KBT760Y4G0WHXA8QFP66KS1Z,2025-12-06T16:18:46.934367218Z,01KBT7610KQ5292P7Q8RCDR5P8,2025-12-06T16:18:46.934367218Z,true,2025-12-06T16:19:00.609180566Z
01KBT8NMG66BZCY7CA8N5EEQ8X,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:42:09.798640507Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:42:09.798640507Z,,,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:42:09.798640507Z,01KBT8JC537P7XSTXWVPC98DA6,2025-12-06T16:42:09.798640507Z,01KBT8JC771KVBG1B0NENMPZWN,2025-12-06T16:42:09.798640507Z,true,2025-12-06T16:42:17.797569654Z
01KBT8QCRG6B3821TQX0WQY3EH,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:07.408329424Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:07.408329424Z,,,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:43:07.408329424Z,01KBT8JC56QPA0CY91YDPZ1HNB,2025-12-06T16:43:07.408329424Z,01KBT8JC9BZ020XTCECPY3RQXF,2025-12-06T16:43:07.408329424Z,true,2025-12-06T16:43:10.077606554Z
01KBT8SCF9MQ8ZX1HZWMVYZQ7S,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:12.649535931Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:12.649535931Z,,,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:44:12.649535931Z,01KBT8JC5A87SMC7HJNAJ5Z1E8,2025-12-06T16:44:12.649535931Z,01KBT8JCCKXJQMWY45HQGAT9YD,2025-12-06T16:44:12.649535931Z,true,2025-12-06T16:44:13.821557402Z
