"id","actualPlayerCount","actualPlayerCountLastChangedAt","batchID","batchIDLastChangedAt","ended","endedLastChangedAt","endedReason","endedReasonLastChangedAt","groupID","groupIDLastChangedAt","lobbyTimerID","lobbyTimerIDLastChangedAt","roundIndex","roundIndexLastChangedAt","stageID","stageIDLastChangedAt","start","startLastChangedAt","starting","startingLastChangedAt","status","statusLastChangedAt","treatment","treatmentLastChangedAt","treatmentName","treatmentNameLastChangedAt"
"01KFEKHW2KQMM6E7GG18D0G9TT",2,"2026-01-20T21:06:54.139082014Z","01KFEKHP5PHVKCA3W59M54X4HD","2026-01-20T21:04:14.931130981Z","true","2026-01-20T21:13:51.483562077Z","end of game","2026-01-20T21:13:51.609703542Z","01KFEKJ0CNM53075QZ368K6941","2026-01-20T21:04:19.358745099Z","01KFEKP6SGEKCTZJ26S38ME05B","2026-01-20T21:06:36.991837087Z",12,"2026-01-20T21:06:55.166998111Z","null","2026-01-20T21:13:51.483562077Z","true","2026-01-20T21:06:54.139082014Z","true","2026-01-20T21:06:54.139082014Z","ended","2026-01-20T21:13:51.609703542Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T21:04:14.931130981Z","noCG_cooperate","2026-01-20T21:04:14.931130981Z"
"01KFEJ5CQQ00MKPGMA298B0BDM",2,"2026-01-20T20:59:44.823692667Z","01KFEJ5CPJ5RGARFNN6Z0PCT4Q","2026-01-20T20:39:57.431841665Z","true","2026-01-20T21:04:35.918573348Z","end of game","2026-01-20T21:04:36.455338706Z","01KFEJ5CV89GGGQ2RM7N202DFE","2026-01-20T20:39:57.549417134Z","01KFEK9K1NH2GWDJ52FWQFNHFG","2026-01-20T20:59:43.549857782Z",12,"2026-01-20T20:59:45.105896525Z","null","2026-01-20T21:04:35.918573348Z","true","2026-01-20T20:59:44.823692667Z","true","2026-01-20T20:59:44.823692667Z","ended","2026-01-20T21:04:36.455338706Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T20:39:57.431841665Z","noCG_cooperate","2026-01-20T20:39:57.431841665Z"
"01KFEKHYHJB14HYQ6WNW69M0EN",2,"2026-01-20T21:33:15.455910756Z","01KFEKHPXA861Q1DG96X1DM2E6","2026-01-20T21:04:17.458393933Z","true","2026-01-20T21:37:43.119534181Z","end of game","2026-01-20T21:37:44.477518027Z","01KFEKJ68PDWTZYXKQ8R6CW8XS","2026-01-20T21:04:25.375723527Z","01KFEN63RTEWF664EW6W8ZBH3S","2026-01-20T21:32:46.771156112Z",12,"2026-01-20T21:33:17.419612121Z","null","2026-01-20T21:37:43.119534181Z","true","2026-01-20T21:33:15.455910756Z","true","2026-01-20T21:33:15.455910756Z","ended","2026-01-20T21:37:44.477518027Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T21:04:17.458393933Z","CG_cooperate","2026-01-20T21:04:17.458393933Z"
"01KFEKP8SWACZ78Z101DJZ9YZX",2,"2026-01-20T21:37:19.197175581Z","01KFEKP8JTD09P5KZK5HC45AYH","2026-01-20T21:06:39.036762278Z","true","2026-01-20T21:42:49.57677072Z","end of game","2026-01-20T21:42:49.739268511Z","01KFEKP9XAR79BA9A3M3BG8ZTK","2026-01-20T21:06:40.179374137Z","01KFENDA0BX98AX09QVPJVC7V0","2026-01-20T21:36:42.532516005Z",12,"2026-01-20T21:37:20.533450509Z","null","2026-01-20T21:42:49.57677072Z","true","2026-01-20T21:37:19.197175581Z","true","2026-01-20T21:37:19.197175581Z","ended","2026-01-20T21:42:49.739268511Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T21:06:39.036762278Z","CG_cooperate","2026-01-20T21:06:39.036762278Z"
"01KFEKHXK7R8H3J1J8XZRRFJYB",2,"2026-01-20T21:19:14.722762498Z","01KFEKHPGYTA3NV92JW708KDS3","2026-01-20T21:04:16.487511302Z","true","2026-01-20T21:26:23.79426423Z","end of game","2026-01-20T21:26:23.936667702Z","01KFEKJ27AS8113D73P0S97585","2026-01-20T21:04:21.235478307Z","01KFEMDAZSCZ6PP6ZB4ERQVBKE","2026-01-20T21:19:14.967556604Z",12,"2026-01-20T21:19:19.863016214Z","null","2026-01-20T21:26:23.79426423Z","true","2026-01-20T21:19:14.722762498Z","true","2026-01-20T21:19:14.722762498Z","ended","2026-01-20T21:26:23.936667702Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T21:04:16.487511302Z","noCG_selfish","2026-01-20T21:04:16.487511302Z"
"01KFEKHZCYGXG9E88XG20MH24Y",2,"2026-01-20T21:31:10.212606381Z","01KFEKHQ6RN01KDJ4QSDZAWPPS","2026-01-20T21:04:18.334846076Z","true","2026-01-20T21:39:33.873455516Z","end of game","2026-01-20T21:39:34.787325504Z","01KFEKJ7WNNSS38NA8DQ6ZF9RG","2026-01-20T21:04:27.038634089Z","01KFEN2XERE7BSGQV5G1W625QZ","2026-01-20T21:31:02.001167787Z",12,"2026-01-20T21:31:10.712040437Z","null","2026-01-20T21:39:33.873455516Z","true","2026-01-20T21:31:10.212606381Z","true","2026-01-20T21:31:10.212606381Z","ended","2026-01-20T21:39:34.787325504Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T21:04:18.334846076Z","noCG_cooperate","2026-01-20T21:04:18.334846076Z"
"01KFEKHZN529E42QD9METE3SFK",2,"2026-01-20T21:20:50.517946895Z","01KFEKHQDC2K693XFM5ANS8DHE","2026-01-20T21:04:18.597729849Z","true","2026-01-20T21:26:18.571320399Z","end of game","2026-01-20T21:26:18.751020723Z","01KFEKJ8Q9JW7XVTZM37P6FY8E","2026-01-20T21:04:27.887387137Z","01KFEMFFW5HAPC30J2ZAMD9Y62","2026-01-20T21:20:25.495335779Z",12,"2026-01-20T21:20:50.877072973Z","null","2026-01-20T21:26:18.571320399Z","true","2026-01-20T21:20:50.517946895Z","true","2026-01-20T21:20:50.517946895Z","ended","2026-01-20T21:26:18.751020723Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T21:04:18.597729849Z","noCG_selfish","2026-01-20T21:04:18.597729849Z"
"01KFEKHX2RB171QB64SDRQQFHC",2,"2026-01-20T21:07:52.428885293Z","01KFEKHPC1MSE3FJ7DBY2FGY2F","2026-01-20T21:04:15.960213914Z","true","2026-01-20T21:13:40.65483264Z","end of game","2026-01-20T21:13:40.749436159Z","01KFEKJ1MQMGCQVSWFKNRHZRGD","2026-01-20T21:04:20.640947289Z","01KFEKQH7KGG9C8T0FA2Z7E6MR","2026-01-20T21:07:20.449812019Z",12,"2026-01-20T21:07:52.69265308Z","null","2026-01-20T21:13:40.65483264Z","true","2026-01-20T21:07:52.428885293Z","true","2026-01-20T21:07:52.428885293Z","ended","2026-01-20T21:13:40.749436159Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T21:04:15.960213914Z","noCG_cooperate","2026-01-20T21:04:15.960213914Z"
"01KFEKHXG0QSJ727TF9BK0CVWT",2,"2026-01-20T21:08:05.197419689Z","01KFEKHPGYTA3NV92JW708KDS3","2026-01-20T21:04:16.384806997Z","true","2026-01-20T21:11:21.267361635Z","end of game","2026-01-20T21:11:21.395643317Z","01KFEKJ1V3ECS2A4XB0FYAK53H","2026-01-20T21:04:20.84513103Z","01KFEKRR7YH632WG0EFZKBFN0Z","2026-01-20T21:08:00.398092591Z",12,"2026-01-20T21:08:06.210721251Z","null","2026-01-20T21:11:21.267361635Z","true","2026-01-20T21:08:05.197419689Z","true","2026-01-20T21:08:05.197419689Z","ended","2026-01-20T21:11:21.395643317Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T21:04:16.384806997Z","noCG_cooperate","2026-01-20T21:04:16.384806997Z"
"01KFEKHZJWCME2TD44SWFYQ3JK",2,"2026-01-20T21:35:46.519437094Z","01KFEKHQDC2K693XFM5ANS8DHE","2026-01-20T21:04:18.524335231Z","true","2026-01-20T21:42:14.900545843Z","end of game","2026-01-20T21:42:15.062377284Z","01KFEKJ82ZKDGNSTWKGQ7HM67T","2026-01-20T21:04:27.241675615Z","01KFENBHD9N29F8VK9SHGHVS19","2026-01-20T21:35:44.567601064Z",12,"2026-01-20T21:35:47.419980861Z","null","2026-01-20T21:42:14.900545843Z","true","2026-01-20T21:35:46.519437094Z","true","2026-01-20T21:35:46.519437094Z","ended","2026-01-20T21:42:15.062377284Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T21:04:18.524335231Z","CG_cooperate","2026-01-20T21:04:18.524335231Z"
